PeriodoLetivo;Login_Quantidade;Numero_Dias_Acessados_Modulo_Somado;Turno_TempoUsoTotal_Somado;Evadido;Forum_Quantidade_Post_Somado;Forum_Quantidade_Visualizacoes_Somado;Forum_TempoUso_Somado;Chat_Quantidade_Mensagens_Somado;Chat_TempoUso_Somado;Turno_PercentualUsoMadrugada_Somado;Turno_PercentualUsoManha_Somado;Turno_PercentualUsoTarde_Somado;Turno_PercentualUsoNoite_Somado;Turno_TempoUsoMadrugada_Somado;Turno_TempoUsoManha_Somado;Turno_TempoUsoTarde_Somado;Turno_TempoUsoNoite_Somado;Assignment_Post_Quantidade_Somado;Assignment_View_Quantidade_Somado;Assignment_View_TempoUso_Somado;Resource_View_Quantidade_Somado;Resource_View_Tempo_Somado;Questionario_Quantidade_Somado;Questionario_TempoUso_Somado;Log_Post_Quantidade_Somado;Log_View_Quantidade_Somado
20130201;2;15;26384;Sucesso;7;36;300;0;42;0.017851728;0.08706034;0.073264099;0.821823833;471;2297;1933;21683;0;7;0;31;6671;1;1449;21;194
20130201;38;28;101069;Sucesso;48;122;8122;32;6432;0.009646875;0.117553355;0.188039854;0.684759916;975;11881;19005;69208;0;14;0;153;25383;3;6607;126;793
20130201;0;19;48766;Sucesso;6;53;0;0;0;0.0063979;0;0.290940409;0.702661691;312;0;14188;34266;0;7;0;70;15749;1;2211;26;349
20130201;4;14;30132;Sucesso;12;56;1028;1;828;0;0;0.010321253;0.989678747;0;0;311;29821;0;8;0;33;8400;2;786;24;217
20130201;30;26;74117;Sucesso;52;217;8041;67;9196;0.018875562;0.020494623;0.060161636;0.900468179;1399;1519;4459;66740;0;10;0;54;12885;2;1802;160;725
20130201;11;28;47901;Sucesso;7;79;892;4;312;0;0.147825724;0.261664683;0.590509593;0;7081;12534;28286;0;12;0;56;12553;3;2169;38;352
20130201;10;23;57784;Sucesso;12;75;2034;0;525;0;0.0190018;0.065225668;0.915772532;0;1098;3769;52917;0;7;0;41;8823;3;5057;46;391
20130201;6;11;28666;Sucesso;5;31;996;1;443;0.072594712;0;0.174597084;0.752808205;2081;0;5005;21580;0;3;0;68;9356;2;2373;25;188
20130201;12;28;46598;Sucesso;7;60;2360;0;400;0;0;0.327417486;0.672582514;0;0;15257;31341;0;2;0;69;14512;3;4769;22;321
20130201;31;25;31334;Sucesso;2;62;2967;0;1246;0.021701666;0.043530989;0.401129763;0.533637582;680;1364;12569;16721;0;6;0;31;4454;1;1540;10;315
20130201;16;24;50010;Sucesso;6;58;2567;3;2011;0;0.028414317;0.040291942;0.931293741;0;1421;2015;46574;0;2;0;63;16469;2;1062;22;257
20130201;20;23;50544;Sucesso;19;80;5007;16;2484;0;0.052251504;0.116354068;0.831394429;0;2641;5881;42022;0;10;0;57;13962;3;2702;56;407
20130201;24;31;84710;Sucesso;26;99;8851;5;3118;0.070038956;0.027352143;0.348518475;0.554090426;5933;2317;29523;46937;0;10;0;81;26140;3;5622;91;469
20130201;29;29;56318;Sucesso;15;92;6870;0;55;0;0.016939522;0.138303917;0.844756561;0;954;7789;47575;0;7;0;53;14403;3;6527;46;381
20130201;9;16;33914;Sucesso;7;56;1005;0;94;0;0.1522675;0.226985906;0.620746594;0;5164;7698;21052;0;17;0;52;9653;3;4458;39;299
20130201;15;30;37262;Sucesso;6;73;2543;0;481;0.150931244;0.293596694;0.260909237;0.294562825;5624;10940;9722;10976;0;6;0;32;9615;1;2787;25;355
20130201;24;25;51925;Sucesso;17;95;6121;0;503;0.015946076;0.145228695;0.341203659;0.49762157;828;7541;17717;25839;0;13;0;45;13490;2;2986;41;491
20130201;11;22;38185;Sucesso;8;48;2763;0;621;0;0.097734713;0.454105015;0.448160272;0;3732;17340;17113;0;11;0;40;6803;3;3890;34;281
20130201;8;28;45128;Sucesso;13;51;1951;1;1090;0;0.25795515;0.152499557;0.589545293;0;11641;6882;26605;0;12;0;55;11704;3;6144;42;290
20130201;0;10;16052;ReprEvadiu;2;32;0;3;1551;0.01868926;0;0.295975579;0.685335161;300;0;4751;11001;0;2;0;22;3283;0;0;5;130
