PeriodoLetivo;Login_Quantidade;Numero_Dias_Acessados_Modulo_Somado;Turno_TempoUsoTotal_Somado;Evadido;Forum_Quantidade_Post_Somado;Forum_Quantidade_Visualizacoes_Somado;Forum_TempoUso_Somado;Chat_Quantidade_Mensagens_Somado;Chat_TempoUso_Somado;Turno_PercentualUsoMadrugada_Somado;Turno_PercentualUsoManha_Somado;Turno_PercentualUsoTarde_Somado;Turno_PercentualUsoNoite_Somado;Turno_TempoUsoMadrugada_Somado;Turno_TempoUsoManha_Somado;Turno_TempoUsoTarde_Somado;Turno_TempoUsoNoite_Somado;Assignment_Post_Quantidade_Somado;Assignment_View_Quantidade_Somado;Assignment_View_TempoUso_Somado;Resource_View_Quantidade_Somado;Resource_View_Tempo_Somado;Questionario_Quantidade_Somado;Questionario_TempoUso_Somado;Log_Post_Quantidade_Somado;Log_View_Quantidade_Somado
20130102;20;22;25752;ReprEvadiu;1;13;20;0;485;0;0.276794035;0.50862069;0.214585275;0;7128;13098;5526;0;5;0;82;13683;0;0;3;240
20130102;2;19;13761;ReprEvadiu;0;11;0;1;1565;0;0.109367052;0.158709396;0.731923552;0;1505;2184;10072;0;9;0;23;3917;0;0;1;120
20130102;3;20;14348;Sucesso;0;8;0;0;104;0;0.133746864;0.529202676;0.33705046;0;1919;7593;4836;0;13;0;43;6709;0;0;4;115
20130102;7;13;8386;ReprEvadiu;0;6;10;0;0;0;0.75149058;0.08919628;0.159313141;0;6302;748;1336;0;3;0;56;3152;0;0;2;119
20130102;2;20;29630;Sucesso;0;15;1133;0;985;0;0.061221735;0.587951401;0.350826865;0;1814;17421;10395;0;14;0;86;9866;0;0;4;238
20130102;9;31;40550;ReprEvadiu;0;12;0;35;6161;0;0.220567201;0.224512947;0.554919852;0;8944;9104;22502;0;10;0;70;15758;0;0;39;223
20130102;11;31;31150;ReprEvadiu;0;4;0;0;605;0.011460674;0.263338684;0.326227929;0.398972713;357;8203;10162;12428;0;11;0;62;15592;0;0;4;154
20130102;6;24;29364;ReprEvadiu;0;4;38;0;2112;0;0.049346138;0.097398175;0.853255687;0;1449;2860;25055;0;4;0;53;12375;0;0;2;124
20130102;13;35;31297;Sucesso;0;8;0;0;249;0;0.269195131;0.420966866;0.309838004;0;8425;13175;9697;0;16;0;74;9346;0;0;4;198
20130102;1;15;13648;ReprEvadiu;1;13;300;0;0;0.055978898;0.123900938;0.049091442;0.771028722;764;1691;670;10523;0;4;0;37;7212;0;0;5;98
20130102;9;30;33661;Sucesso;0;6;33;0;163;0.126347999;0.22881079;0.318528861;0.32631235;4253;7702;10722;10984;0;6;0;84;13908;0;0;4;200
20130102;4;16;18596;Sucesso;0;3;0;0;199;0;0.057861906;0.337922134;0.60421596;0;1076;6284;11236;0;25;0;40;6957;0;0;12;167
20130102;0;9;7430;ReprEvadiu;0;9;0;0;0;0;0;0;1;0;0;0;7430;0;3;0;27;3774;0;0;0;89
20130102;40;40;158924;Sucesso;28;180;1066;21;7336;0.020299011;0.1246319;0.467091188;0.387977901;3226;19807;74232;61659;0;9;0;364;60088;0;0;56;1190
20130102;38;39;103163;Sucesso;1;45;1855;0;3107;0.025270688;0.045791611;0.39976542;0.529172281;2607;4724;41241;54591;0;33;0;202;34580;0;298;6;627
20130102;0;5;9986;ReprEvadiu;0;11;0;4;511;0;0;0;1;0;0;0;9986;0;13;0;23;3827;0;0;12;112
20130102;0;5;1541;ReprEvadiu;0;1;0;0;0;0;0.19467878;0.554834523;0.250486697;0;300;855;386;0;2;0;4;387;0;0;0;16
20130102;0;2;341;ReprEvadiu;0;0;0;0;0;0;0;0.120234604;0.879765396;0;0;41;300;0;0;0;2;35;0;0;0;4
20130102;9;15;14650;ReprEvadiu;3;13;360;0;0;0;0.397064846;0.225255973;0.377679181;0;5817;3300;5533;0;16;0;31;3638;0;0;5;153
20130102;4;20;15500;Sucesso;0;6;16;0;23;0.019354839;0.094322581;0.392580645;0.493741935;300;1462;6085;7653;0;14;0;36;6110;0;0;4;120
20130102;18;31;48100;Sucesso;1;69;150;0;1914;0;0.032598753;0.638918919;0.328482328;0;1568;30732;15800;0;26;0;77;5955;0;34;5;406
20130102;0;14;16231;Sucesso;0;0;0;6;3304;0;0.059762183;0.297763539;0.642474278;0;970;4833;10428;0;13;0;24;5808;0;0;14;64
20130102;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20130102;0;19;12798;ReprEvadiu;0;3;0;0;300;0;0.387248008;0.311689326;0.301062666;0;4956;3989;3853;0;10;0;49;7425;0;0;0;101
20130102;11;34;48847;Sucesso;3;59;102;17;3582;0;0.350297869;0.269822098;0.379880034;0;17111;13180;18556;0;39;0;132;13721;0;19;26;584
20130102;21;22;35768;ReprEvadiu;1;26;755;0;2083;0.022869604;0.227857303;0.476291657;0.272981436;818;8150;17036;9764;0;47;0;102;10394;0;0;5;434
20130102;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20130102;13;35;66860;ReprEvadiu;1;87;458;42;6831;0;0.420266228;0.178507329;0.401226443;0;28099;11935;26826;0;48;0;62;13991;0;0;51;466
20130102;1;22;31808;ReprEvadiu;0;58;0;0;2855;0;0.026597082;0.199006539;0.774396378;0;846;6330;24632;0;30;0;50;8246;0;0;4;373
20130102;0;3;1304;ReprEvadiu;0;1;0;0;0;0;0;0;1;0;0;0;1304;0;0;0;5;535;0;0;0;15
20130102;7;19;15570;ReprEvadiu;0;16;50;0;56;0;0.535324342;0.304560051;0.160115607;0;8335;4742;2493;0;13;0;43;6295;0;6;6;151
20130102;18;21;21883;ReprEvadiu;1;20;517;0;509;0.084586208;0.300872824;0.161723712;0.452817255;1851;6584;3539;9909;0;28;0;11;2023;0;0;7;207
20130102;9;19;19466;Sucesso;0;28;0;18;3409;0;0.103154218;0.205794719;0.691051063;0;2008;4006;13452;0;17;0;10;284;0;0;22;196
20130102;9;20;25350;Sucesso;0;10;1876;0;1121;0;0.041893491;0.242051282;0.716055227;0;1062;6136;18152;0;26;0;40;8253;0;0;4;225
20130102;21;40;79209;Sucesso;2;59;0;42;8800;0.057468217;0.053844891;0.123155197;0.765531695;4552;4265;9755;60637;0;57;0;72;12196;0;0;52;521
20130102;0;17;21492;ReprEvadiu;0;13;0;0;93;0;0.064907873;0.739717104;0.195375023;0;1395;15898;4199;0;21;0;63;9719;0;0;4;225
20130102;4;21;36389;Sucesso;1;22;455;0;3086;0;0.025117481;0.051746407;0.923136113;0;914;1883;33592;0;16;0;50;8118;0;0;5;351
20130102;2;8;7335;Sucesso;0;6;0;0;0;0;0.652351738;0.245535106;0.102113156;0;4785;1801;749;0;15;0;16;2064;0;0;8;64
20130102;43;33;85566;Sucesso;0;76;2362;66;9947;0.193920482;0;0.175478578;0.63060094;16593;0;15015;53958;0;56;0;131;20831;0;38;70;654
20130102;5;17;19038;ReprEvadiu;0;13;15;0;8;0;0.301344679;0.647336905;0.051318416;0;5737;12324;977;0;23;0;99;5135;0;0;0;282
20130102;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20130102;105;45;289202;Sucesso;41;516;4285;67;11330;0.051330904;0.105431498;0.189618329;0.65361927;14845;30491;54838;189028;0;48;0;232;32010;0;0;121;2606
20130102;28;38;86374;Sucesso;16;128;3206;0;998;0.003473267;0.166913655;0.254613657;0.574999421;300;14417;21992;49665;0;31;0;155;17306;0;0;26;770
20130102;32;36;63596;ReprEvadiu;5;62;2685;0;913;0;0.109472294;0.469400591;0.421127115;0;6962;29852;26782;0;29;0;176;21526;0;0;11;586
20130102;1;8;8268;ReprEvadiu;0;2;0;3;1662;0.151427189;0;0.03628447;0.812288341;1252;0;300;6716;0;4;0;26;2343;0;0;3;62
20130102;8;27;50058;ReprEvadiu;0;59;682;0;2498;0.045926725;0.019397499;0.125014983;0.809660793;2299;971;6258;40530;0;19;0;66;12429;0;0;4;377
20130102;11;23;55260;ReprEvadiu;0;40;1109;37;5397;0;0.051049584;0.315743757;0.633206659;0;2821;17448;34991;0;16;0;101;18034;0;0;39;416
20130102;23;41;119274;Sucesso;18;158;6599;114;13243;0;0.169508862;0.211144088;0.61934705;0;20218;25184;73872;0;35;0;196;31359;0;0;139;884
20130102;20;34;56860;Sucesso;2;25;125;48;7329;0.019785438;0.110323602;0.332043616;0.537847344;1125;6273;18880;30582;0;50;0;68;13638;0;0;59;343
20130102;12;32;68308;ReprEvadiu;2;63;492;0;1051;0;0.15245652;0.207325643;0.640217837;0;10414;14162;43732;0;28;0;101;22222;0;0;6;436
20130102;0;4;3305;ReprEvadiu;0;4;0;0;0;0;0.590620272;0.298940998;0.110438729;0;1952;988;365;0;1;0;8;788;0;0;0;31
20130102;11;15;42077;ReprEvadiu;1;24;889;28;5414;0;0;0;1;0;0;0;42077;0;34;0;77;17255;0;0;33;275
