PeriodoLetivo;Login_Quantidade;Numero_Dias_Acessados_Modulo_Somado;Turno_TempoUsoTotal_Somado;Evadido;Forum_Quantidade_Post_Somado;Forum_Quantidade_Visualizacoes_Somado;Forum_TempoUso_Somado;Chat_Quantidade_Mensagens_Somado;Chat_TempoUso_Somado;Turno_PercentualUsoMadrugada_Somado;Turno_PercentualUsoManha_Somado;Turno_PercentualUsoTarde_Somado;Turno_PercentualUsoNoite_Somado;Turno_TempoUsoMadrugada_Somado;Turno_TempoUsoManha_Somado;Turno_TempoUsoTarde_Somado;Turno_TempoUsoNoite_Somado;Assignment_Post_Quantidade_Somado;Assignment_View_Quantidade_Somado;Assignment_View_TempoUso_Somado;Resource_View_Quantidade_Somado;Resource_View_Tempo_Somado;Questionario_Quantidade_Somado;Questionario_TempoUso_Somado;Log_Post_Quantidade_Somado;Log_View_Quantidade_Somado
20120201;5;5;12793;ReprEvadiu;4;13;2069;0;82;0.023450324;0;0.064957399;0.911592277;300;0;831;11662;0;0;0;15;3441;1;1467;11;89
20120101;12;13;32054;Sucesso;8;64;4212;0;0;0.01119985;0.063860985;0.159980034;0.764959131;359;2047;5128;24520;0;0;0;56;7969;1;2392;20;343
20120101;0;2;2027;ReprEvadiu;0;3;0;0;0;0;0;0;1;0;0;0;2027;0;0;0;6;600;0;0;0;19
20120101;3;9;6228;Sucesso;1;11;308;0;0;0;0.092485549;0.807642903;0.099871548;0;576;5030;622;0;0;0;14;2127;0;630;2;48
20120101;3;7;13692;ReprEvadiu;5;26;658;0;0;0;0.549006719;0.10772714;0.343266141;0;7517;1475;4700;0;0;0;19;3940;0;215;5;111
20120101;13;12;21431;Sucesso;4;43;3700;0;0;0;0;0.14758994;0.85241006;0;0;3163;18268;0;0;0;22;4727;1;3287;20;172
20120101;13;9;19295;Sucesso;4;30;1712;0;0;0;0.048147188;0.038248251;0.913604561;0;929;738;17628;0;0;0;14;3119;1;1357;15;124
20120101;18;12;20447;Sucesso;4;33;1043;0;0;0;0.241208979;0.042157774;0.716633247;0;4932;862;14653;0;0;0;31;7960;1;1110;8;132
20120101;15;6;14100;ReprEvadiu;3;38;859;0;0;0.100070922;0.074539007;0.06893617;0.756453901;1411;1051;972;10666;0;0;0;26;3711;1;2830;12;204
20120101;3;5;11215;Sucesso;3;21;0;0;0;0.043423986;0.275791351;0.344538564;0.336246099;487;3093;3864;3771;0;0;0;18;3196;1;1553;8;105
20120101;10;9;23749;Sucesso;4;42;3969;0;0;0;0.098530464;0.53530675;0.366162786;0;2340;12713;8696;0;0;0;24;4328;1;2575;15;171
20120101;4;4;13077;ReprEvadiu;2;15;2268;0;0;0;0;0.376691902;0.623308098;0;0;4926;8151;0;0;0;20;4962;1;2811;16;77
20120101;13;6;9906;ReprEvadiu;1;4;0;0;1134;0;0.070159499;0.228851201;0.700989299;0;695;2267;6944;0;0;0;0;0;1;2131;16;58
20120101;7;7;14861;ReprEvadiu;2;32;670;3;763;0.050198506;0;0.065406096;0.884395397;746;0;972;13143;0;0;0;12;3499;1;1966;23;107
20120101;20;12;21621;Sucesso;4;27;1860;0;300;0.027750798;0;0.088478794;0.883770408;600;0;1913;19108;0;0;0;27;4799;1;2578;16;132
20120101;11;12;12644;ReprEvadiu;3;20;1208;0;62;0;0;0.118949699;0.881050301;0;0;1504;11140;0;0;0;31;3866;1;865;12;118
20120101;24;13;32085;Sucesso;9;96;4538;2;1216;0;0.09010441;0.45164407;0.458251519;0;2891;14491;14703;0;0;0;32;11348;1;2008;27;263
20120101;49;18;46123;ReprEvadiu;25;183;6104;22;2569;0.101337727;0.066647876;0.172365197;0.659649199;4674;3074;7950;30425;0;0;0;48;12002;1;2795;58;588
20120101;13;9;21935;ReprEvadiu;4;31;2460;9;2979;0.038887623;0.101390472;0.089172555;0.77054935;853;2224;1956;16902;0;0;0;9;1851;1;1145;19;166
